buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
139900;1858;Kaunas, Gričiupis, Pašilės g.;75.29;3
150000;2399;Vilnius, Fabijoniškės, Salomėjos Nėries g.;62.53;2
65000;1711;Klaipėda, Rumpiškės, Rumpiškės g.;38;2
280000;4912;Vilnius, Žvėrynas, Sakalų g.;57;3
166900;3252;Vilnius, Pilaitė, Tolminkiemio g.;51.32;2
690000;4825;Vilnius, Senamiestis, Pylimo g.;143;4
149999;2885;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;52;2
32000;1204;Jonavos m., Kosmonautų g.;26.57;1
375000;3989;Vilnius, Valakampiai, Svajonių g.;94;4
73128;1825;Kauno r. sav., Jonučių II k., Versmės g.;40.07;2
89000;1735;Šiauliai, Centras, Draugystės pr.;51.29;3
183000;3027;Vilnius, Šiaurės miestelis, Žygio g.;60.46;2
420000;5185;Vilnius, Markučiai, Manufaktūrų g.;81;4
59000;2107;Palanga, Druskininkų g.;28;1
265000;2665;Vilnius, Lazdynėliai, Neužmirštuolių g.;99.44;3
70000;2121;Kaunas, Dainava, Partizanų g.;33;1
252000;5663;Vilnius, Markučiai, Manufaktūrų g.;44.5;2
118000;2070;Vilnius, Pašilaičiai, Gabijos g.;57;2
399000;3613;Vilnius, Naujamiestis, Savanorių pr.;110.43;4
277200;3587;Palanga, Vėžių g.;77.28;4
125000;2810;Vilnius, Naujamiestis, V. Pietario g.;44.49;2
490000;3603;Vilnius, Naujamiestis, Vinco Kudirkos g.;136;4
400000;5195;Vilnius, Senamiestis, Teatro g.;77;3
250000;3086;Vilnius, Šnipiškės, Kalvarijų g.;81;3
89900;2246;Klaipėda, Varpai, Varpų g.;40.02;2
180000;4055;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;44.39;2
70000;1343;Panevėžys, Klaipėdos, Kosmonautų g.;52.11;2
81500;1990;Trakų m., Linksmoji g.;40.95;2
192900;3445;Vilnius, Lazdynėliai, Lazdynėlių g.;56;3
95000;4556;Vilnius, Naujamiestis, T. Ševčenkos g.;20.85;2
85000;2237;Klaipėda, Centras, Kauno g.;38;2
119000;1486;Molėtų m., Mechanizatorių g.;80.06;4
85000;1838;Druskininkų m., Neravų g.;46.25;2
167000;4039;Vilnius, Šnipiškės, Sporto g.;41.35;2
70000;2059;Vilnius, Žemieji Paneriai, Jankiškių g.;34;2
49500;1231;Kretingos m., V. Kudirkos g.;40.22;1
285000;6196;Vilnius, Naujamiestis, Savanorių pr.;46;2
26000;565;Akmenės r. sav., Naujosios Akmenės m., Nepriklausomybės al.;46;2
155000;3946;Palanga, Vanagupės g.;39.28;1
109999;2275;Palanga, Šventoji, Mėguvos g.;48.35;2
289999;3671;Kaunas, Aleksotas, Bitininkų g.;79;3
165000;2686;Vilnius, Pašilaičiai, Eitminų g.;61.44;3
