Gamintojas,Modelis,Pagaminimo data,Kėbulo tipas,Kaina,Kuros tipas,Pavarų dėžė,Variklio turis,Variklio galia,Rida,Miestas
BMW,520,2010-04,Universalas,5 999 €,Dyzelinas,Automatinė,2.0 l.,130  kW,274 564 km,Vilnius
Skoda,Octavia,2016-03,Universalas,6 100 €,Dyzelinas,Mechaninė,1.6 l.,81  kW,440 000 km,"Rīga, Latvija"
Mercedes-Benz,E200,2012-11,Sedanas,6 600 €,Dyzelinas,Automatinė,2.1 l.,100  kW,280 000 km,Vilnius
Volvo,XC60,2009-09,Visureigis / Krosoveris,6 770 €,Dyzelinas,Automatinė,2.4 l.,136  kW,280 000 km,Vilnius
BMW,328,2008-04,Kupė (Coupe),6 950 €,Benzinas,Automatinė,3.0 l.,171  kW,266 000 km,Vilnius
BMW,320,2009-01,Universalas,6 950 €,Dyzelinas,Automatinė,2.0 l.,130  kW,250 421 km,Vilnius
Audi,A6,2011-09,Universalas,6 999 €,Dyzelinas,Automatinė,3.0 l.,176  kW,288 559 km,Vilnius
Toyota,Yaris,2012-09,Hečbekas,7 200 €,Benzinas / elektra,Automatinė,1.5 l.,55  kW,Marijampolė,
Mercedes-Benz,Sprinter,2010-04,Krovininis mikroautobusas,7 250 €,Dyzelinas,Mechaninė,2.2 l.,95  kW,211 363 km,Kaunas
Nissan,Qashqai,2015-06,Visureigis / Krosoveris,7 550 €,Benzinas,Automatinė,1.2 l.,85  kW,140 000 km,Kaunas
BMW,530,2011-02,Universalas,7 900 €,Dyzelinas,Automatinė,3.0 l.,150  kW,351 000 km,Radviliškis
Volkswagen,Passat,2015-03,Sedanas,8 500 €,Dyzelinas,Automatinė,1.6 l.,88  kW,Kaunas,
BMW,520,2013-07,Universalas,8 999 €,Dyzelinas,Automatinė,2.0 l.,135  kW,276 572 km,Vilnius
Audi,A6,2011-06,Sedanas,8 999 €,Dyzelinas,Mechaninė,2.0 l.,130  kW,277 328 km,Radviliškis
BMW,525,2011-07,Universalas,9 200 €,Dyzelinas,Automatinė,3.0 l.,150  kW,271 000 km,Kelmė
Toyota,Auris,2014-05,Universalas,9 299 €,Benzinas / elektra / dujos,Automatinė,1.8 l.,100  kW,262 000 km,Vilnius
Volkswagen,Touareg,2011-12,Visureigis / Krosoveris,9 300 €,Benzinas,Automatinė,3.6 l.,206  kW,254 000 km,Kaunas
Audi,A4,2012-11,Universalas,9 999 €,Dyzelinas,Automatinė,3.0 l.,150  kW,249 000 km,Klaipėda
Volkswagen,Passat,2015-11,Universalas,10 200 €,Dyzelinas,Automatinė,1.6 l.,88  kW,185 000 km,Kaunas
Audi,A6,2013-08,Universalas,10 500 €,Dyzelinas,Mechaninė,2.0 l.,130  kW,345 600 km,Klaipėda
BMW,520,2013-10,Universalas,10 500 €,Dyzelinas,Automatinė,2.0 l.,120  kW,278 490 km,Vilnius
BMW,320,2015-08,Universalas,10 500 €,Dyzelinas,Automatinė,2.0 l.,160  kW,252 000 km,Kuršėnai
Hyundai,IONIQ,2020-03,Hečbekas,10 700 €,Benzinas / elektra,Automatinė,1.6 l.,77  kW,80 063 km,Alytus
Audi,A4,2015-01,Universalas,10 900 €,Dyzelinas,Automatinė,2.0 l.,140  kW,215 000 km,Vilnius
BMW,520,2014-12,Universalas,11 300 €,Dyzelinas,Automatinė,2.0 l.,140  kW,281 000 km,Kuršėnai
Volkswagen,Touareg,2010-11,Visureigis / Krosoveris,11 500 €,Dyzelinas,Automatinė,3.0 l.,176  kW,275 182 km,Vilnius
Volkswagen,Passat,2015-07,Universalas,12 500 €,Dyzelinas,Automatinė,2.0 l.,140  kW,181 000 km,Klaipėda
Lexus,GS 300h,2014,Sedanas,12 950 €,Benzinas / elektra,Automatinė,2.5 l.,164  kW,400 000 km,Trakai
Lexus,IS 250,2016,Sedanas,14 000 €,Benzinas,Automatinė,2.5 l.,153  kW,128 000 km,Vilnius
Fiat,Ducato,2016-01,Krovininis mikroautobusas,14 300 €,Dyzelinas,Mechaninė,2.3 l.,96  kW,142 754 km,Vilnius
